publisherId;publisherName;siteId;placementId;date;siteName;placementName;totalImpression;revenue/value;revenue/currency;passback;impression
19379;eBay - AU_2008;129723;706885;2018-01-29T00:00:00;eBay - AU - CHB - PB;eBay - AU - CHB - PB - 160x600;185949;161.31895598736207;USD;0;185949
19379;eBay - AU_2008;129723;785258;2018-01-29T00:00:00;eBay - AU - CHB - PB;eBay - AU - CHB - PB - 728x90;193798;165.03543631497408;USD;0;193798
19379;eBay - AU_2008;129723;803916;2018-01-29T00:00:00;eBay - AU - CHB - PB;eBay - AU - CHB - PB - 300x250;192648;366.3833747248749;USD;0;192648
